,Age,Gender,Ethnicity,EducationLevel,BMI,Smoking,AlcoholConsumption,PhysicalActivity,DietQuality,SleepQuality,FamilyHistoryAlzheimers,CardiovascularDisease,Diabetes,Depression,HeadInjury,Hypertension,SystolicBP,DiastolicBP,CholesterolTotal,CholesterolLDL,CholesterolHDL,CholesterolTriglycerides,MMSE,FunctionalAssessment,MemoryComplaints,BehavioralProblems,ADL,Confusion,Disorientation,PersonalityChanges,DifficultyCompletingTasks,Forgetfulness,Diagnosis
Age,1.0,0.028707856044158417,0.02774540250900815,-0.06055983030512356,-0.015677039314309887,0.020059729902532714,0.0073226967487274525,-0.010249230046452597,-0.023386338237608266,0.04913918035407803,-0.01878398572769399,-0.01528439358634789,-0.00570779508999404,-0.008752024735822107,-0.0403373393323831,0.0039535646724524936,-0.0053244114799310144,-0.004461867618130596,0.00039191335825303377,0.0035878880985002774,0.006802863611082922,-0.0030619937854480966,-0.004234771200121256,0.005507818902558747,0.012343325585083248,0.03897344552198197,-0.038657555208668606,0.009001969737011395,0.027522985902951456,-0.009469633122223426,0.01390041016334703,-0.019279351203730224,-0.005488377592358493
Gender,0.028707856044158417,1.0,-0.0036604528066656195,-0.007070427298798927,0.005927618714076629,0.016650472380676237,0.004329761092295626,-0.03579474725913434,0.010942411879647135,0.007309769673100767,0.018420893301969173,0.03457713570581173,-0.018299827160895094,0.018112930987732593,0.004013192803696461,-0.0026412276915817423,0.011656985840053622,-0.026059128730775545,-0.00956775522420565,0.01627144498543466,-0.005846198728444937,-0.0124267753867129,0.025329890311331562,0.03332432172461723,0.003879879123415987,0.006099420696923671,0.0038651258588455356,-0.03058325438699525,0.017506147422747573,0.02591920754172938,-0.0016358012819473787,-0.02853665560666138,-0.02097471026094928
Ethnicity,0.02774540250900815,-0.0036604528066656195,1.0,0.02651607586194397,-0.00317640522336168,0.031484747612971556,0.008362854411432268,0.020498302408154083,-0.018183554930771062,0.029303695186202704,0.022526151175088938,0.002346638769808763,-0.019588460454057304,-0.005410989767239207,-0.009363959799060592,0.012848475167266525,-0.027085831962057248,0.01031002295372162,-0.0117572070092587,0.007907114221931634,-0.021828079604873346,-0.007173437712651524,-0.012503896664434466,-0.00470378807226815,0.0036866401901921447,-0.019363000521973192,0.010474968765271262,0.02243093408025774,-0.018131579915501524,-0.030034991214554635,0.019362617965243238,-0.03461871016165004,-0.01478229536935003
EducationLevel,-0.06055983030512356,-0.007070427298798927,0.02651607586194397,1.0,-0.02351401133098179,-0.009903529615885896,-0.012645710015018574,-0.01670316906841914,0.017411941320727473,0.02024783593126665,0.032748053100479825,0.007527946227701943,0.0030587956415339622,0.027572660252922383,-0.00895093355733689,-0.01694969468996422,-0.016781853583301237,-0.002553097103323166,-0.04159791140703231,0.050503673750811114,-0.00812529103148051,-0.02576330744879212,0.02608992924664157,0.02026900161943213,-0.00016518388371831725,0.010472623748453513,0.03193434578483828,-0.008167762239294527,-0.01756766003353075,-0.019950092859560686,0.013032749626857926,-0.008685107976809058,-0.04396584958332178
BMI,-0.015677039314309887,0.005927618714076629,-0.00317640522336168,-0.02351401133098179,1.0,0.020437334548446404,-0.008996534094327855,0.000742418877651115,0.01992202425588507,-0.0059753710910981405,0.006445508061393239,-0.005466748717341565,-0.008979687305950189,-0.012506971187697908,0.01628782595445891,0.004928478712898635,-0.019274792971325158,-0.0025236817890122464,0.0010823138968188233,0.023684073949687502,0.03860469916091654,-0.018000598504786396,-0.0034767068601193425,-0.030500565926246913,0.0292928999820944,0.03527588105277423,-0.009788457116494202,-0.01585909614957977,-0.031840142898545504,-0.015900976327826572,-0.03939961904561917,0.07113117355945427,0.02634281302888019
Smoking,0.020059729902532714,0.016650472380676237,0.031484747612971556,-0.009903529615885896,0.020437334548446404,1.0,0.008363417513695355,0.010760319995253268,-0.002048057772095428,-0.00114485003945006,-0.04581080716498753,0.027955139272676753,-0.035810425859805595,-0.039362953792956686,-0.019178337725611064,-0.02112444550055341,-0.024116062113718858,-0.014111591420584713,-0.010907471713295326,-0.0073928627249534445,-0.02556685506900308,-0.021058150353882102,0.0021388907930637705,-0.03187873623104468,0.02033923649542662,-0.014762620658280833,-0.029232601017613744,0.004498161605034091,-0.02840280127293289,-0.0099773929048804,0.0017410132063869184,0.01801121995206261,-0.004865235195237045
AlcoholConsumption,0.0073226967487274525,0.004329761092295626,0.008362854411432268,-0.012645710015018574,-0.008996534094327855,0.008363417513695355,1.0,0.021695552268988654,0.0201166132166429,-0.0038726113799583614,-0.003707292732340272,-0.023632199503964658,7.252043182168044e-05,0.00886739484538978,-0.008301136173437059,-0.0060099697169182925,-0.03007011144765684,-0.008909370837366296,-0.033944440875368576,-0.01704233205234264,-0.0019250445968104575,0.023362286146895863,-0.011423989598521101,-0.016482803631539634,-0.029418495321847857,0.013656963004512142,-0.008250355341974491,-0.03279816124249221,0.015521374576489335,0.01911683852474033,-0.002712048905445025,-0.024121131364977386,-0.007617968445114058
PhysicalActivity,-0.010249230046452597,-0.03579474725913434,0.020498302408154083,-0.01670316906841914,0.000742418877651115,0.010760319995253268,0.021695552268988654,1.0,0.011084688438905588,-0.0018226884730858173,-0.014105973451041632,0.003975630125999665,0.029879504235844026,-0.013533091086599414,0.02578014931682676,0.02208080818816513,-0.004811294361500049,-0.010554925146355637,0.014334705136947349,0.017788794403875725,-0.001993015885279753,0.027416040579506504,-0.008342257095075214,-0.0024194984495427983,0.008709341401174785,-0.01425322143141797,-0.013323550722680733,-0.009397329696061168,-0.020407449506840078,-0.013629408453667315,0.03116908901528341,0.009836798627184142,0.0059450424530866205
DietQuality,-0.023386338237608266,0.010942411879647135,-0.018183554930771062,0.017411941320727473,0.01992202425588507,-0.002048057772095428,0.0201166132166429,0.011084688438905588,1.0,0.05129523345739094,-0.011260908459046993,-0.015219625396799642,0.009191941455964409,-0.0025158946301829864,-0.008163014662319846,-0.04362754736610677,0.00603088527059284,0.009539388306427579,-0.016790419605758947,-0.02369752162310436,-0.008659141691885053,0.034733874682347794,0.0216364080598454,-0.009699872679285657,0.012537455703595947,-0.014032506301086732,-0.007888480119055281,0.0026283029692712005,-0.026271271442435684,0.029086947356865653,0.04573671660474048,0.00617526692870697,0.00850577133339512
SleepQuality,0.04913918035407803,0.007309769673100767,0.029303695186202704,0.02024783593126665,-0.0059753710910981405,-0.00114485003945006,-0.0038726113799583614,-0.0018226884730858173,0.05129523345739094,1.0,0.014801364363702475,0.0021115055599045546,0.023986669643072788,-0.022995892206937468,-0.004546393144071326,0.03866770612990951,-0.027886973782131484,0.01079723562075617,0.0068794155682043185,0.006750975574533201,0.01545314994760347,0.024004193837721736,0.01250613530184643,0.02958866260080411,-0.016806812160640044,-0.019899327289595023,0.01453468571030375,0.013508295449324092,0.019466528800466044,-0.01689240305338289,0.011237088857220103,0.0029295249606487088,-0.056548086007109054
