model,full_auc,screening_auc
Logistic Regression,0.8970984426509037,0.5299723390549809
SVM (RBF),0.9013498920086395,0.47538933727407073
KNN,0.7795474783069987,0.527630158008412
Gaussian NB,0.8761111742639536,0.5251013603122276
Decision Tree,0.9329364177181614,0.4960919442234094
Random Forest,0.9503168693872912,0.5058182713803949
Extra Trees,0.9295607404039257,0.4984554393543253
AdaBoost,0.9449812436057747,0.503135064984275
Gradient Boosting,0.9510751771437234,0.49514038876889854
XGBoost,0.9512523208669623,0.49971770679398275
LightGBM,0.9517903830851426,0.503468038346406
CALiBRE-AD (ours),0.9489598726838695,0.47900231139403593
