,accuracy,precision,recall,f1,roc_auc,mcc,kappa,brier
Logistic Regression,0.833,0.784,0.728,0.755,0.897,0.63,0.628,0.119
SVM (RBF),0.845,0.796,0.754,0.774,0.901,0.656,0.656,0.115
KNN,0.735,0.692,0.45,0.545,0.78,0.387,0.37,0.178
Gaussian NB,0.798,0.727,0.684,0.705,0.876,0.552,0.551,0.136
Decision Tree,0.94,0.911,0.921,0.916,0.933,0.87,0.87,0.055
Random Forest,0.942,0.95,0.883,0.915,0.95,0.873,0.872,0.081
Extra Trees,0.866,0.889,0.708,0.788,0.93,0.701,0.692,0.123
AdaBoost,0.924,0.896,0.887,0.892,0.945,0.833,0.833,0.199
Gradient Boosting,0.948,0.936,0.917,0.926,0.951,0.887,0.887,0.051
XGBoost,0.952,0.947,0.916,0.931,0.951,0.895,0.894,0.048
LightGBM,0.952,0.947,0.916,0.931,0.952,0.895,0.894,0.046
CALiBRE-AD (ours),0.95,0.932,0.925,0.929,0.949,0.89,0.89,0.046
