feature,mean_abs_shap
FunctionalAssessment,3.1181751680596763
ADL,2.887437317848692
MMSE,2.1229669235234545
MemoryComplaints,2.073532943626673
BehavioralProblems,1.6086144647559524
CholesterolLDL,0.27188674592701034
DietQuality,0.2691706150015654
CholesterolTotal,0.24207803581071785
Age,0.2180842866477506
SleepQuality,0.21472175906846297
CholesterolHDL,0.2027896742562746
BMI,0.19895135206171227
PhysicalActivity,0.18667944935978759
AlcoholConsumption,0.1833592346260383
SystolicBP,0.17004505407375844
CholesterolTriglycerides,0.1621894163216701
DiastolicBP,0.12196510475262648
Ethnicity,0.09798609346295933
Smoking,0.09317188712147689
EducationLevel,0.08311539977614099
CardiovascularDisease,0.06137189405074367
Confusion,0.05797167786248396
Hypertension,0.05090161678792941
Gender,0.03015959740390979
Disorientation,0.029149630556022866
PersonalityChanges,0.018680233178582327
Forgetfulness,0.014267457770725444
Depression,0.013727498438803842
Diabetes,0.011767235208613844
FamilyHistoryAlzheimers,0.010498369298196789
DifficultyCompletingTasks,0.009469316790492581
HeadInjury,0.00499099346394086
