,abs_corr
FunctionalAssessment,-0.36489830657691513
ADL,-0.33234591625477783
MemoryComplaints,0.30674239370561934
MMSE,-0.2371256070735205
BehavioralProblems,0.22435040084778998
SleepQuality,-0.056548086007109054
EducationLevel,-0.04396584958332178
CholesterolHDL,0.042584041328001386
Hypertension,0.03508003438192649
FamilyHistoryAlzheimers,-0.03289974752274733
CholesterolLDL,-0.03197582594293156
Diabetes,-0.0315076041564909
CardiovascularDisease,0.03149024640849238
BMI,0.02634281302888019
Disorientation,-0.024648156933488655
CholesterolTriglycerides,0.022671877013684238
HeadInjury,-0.021411425744208398
Gender,-0.02097471026094928
PersonalityChanges,-0.020627462537192404
Confusion,-0.01918571967575
SystolicBP,-0.015615231331618039
Ethnicity,-0.01478229536935003
DifficultyCompletingTasks,0.009068581809868215
DietQuality,0.00850577133339512
AlcoholConsumption,-0.007617968445114058
CholesterolTotal,0.00639446298384668
PhysicalActivity,0.0059450424530866205
Depression,-0.005892907030010054
Age,-0.005488377592358493
DiastolicBP,0.0052926798025988995
Smoking,-0.004865235195237045
Forgetfulness,-0.00035428982556098756
